timestamp=2026-01-31T06:30:29.659653218Z
send_ack_total_ms=508164

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84392, avg_ms_per_topic=168
batch_2_range=501~1000, elapsed_ms=86659, avg_ms_per_topic=173
batch_3_range=1001~1500, elapsed_ms=82037, avg_ms_per_topic=164
batch_4_range=1501~2000, elapsed_ms=88453, avg_ms_per_topic=176
batch_5_range=2001~2500, elapsed_ms=84505, avg_ms_per_topic=169
batch_6_range=2501~3000, elapsed_ms=87225, avg_ms_per_topic=174

=== Per Message Details ===
send_ack_ms_477=149, topic_create_ms=0
send_ack_ms_478=156, topic_create_ms=0
send_ack_ms_479=156, topic_create_ms=0
send_ack_ms_480=156, topic_create_ms=0
send_ack_ms_481=149, topic_create_ms=0
send_ack_ms_482=150, topic_create_ms=0
send_ack_ms_483=168, topic_create_ms=0
send_ack_ms_484=157, topic_create_ms=0
send_ack_ms_485=158, topic_create_ms=0
send_ack_ms_486=165, topic_create_ms=0
send_ack_ms_487=147, topic_create_ms=0
send_ack_ms_488=156, topic_create_ms=0
send_ack_ms_489=149, topic_create_ms=0
send_ack_ms_490=155, topic_create_ms=0
send_ack_ms_491=166, topic_create_ms=0
send_ack_ms_492=163, topic_create_ms=0
send_ack_ms_493=155, topic_create_ms=0
send_ack_ms_494=203, topic_create_ms=0
send_ack_ms_495=270, topic_create_ms=0
send_ack_ms_496=217, topic_create_ms=0
send_ack_ms_497=210, topic_create_ms=0
send_ack_ms_498=273, topic_create_ms=0
send_ack_ms_499=218, topic_create_ms=0
send_ack_ms_500=278, topic_create_ms=0
send_ack_ms_501=153, topic_create_ms=0
send_ack_ms_502=156, topic_create_ms=0
send_ack_ms_503=167, topic_create_ms=0
send_ack_ms_504=159, topic_create_ms=0
send_ack_ms_505=156, topic_create_ms=0
send_ack_ms_506=147, topic_create_ms=0
send_ack_ms_507=160, topic_create_ms=0
send_ack_ms_508=159, topic_create_ms=0
send_ack_ms_509=156, topic_create_ms=0
send_ack_ms_510=146, topic_create_ms=0
send_ack_ms_511=162, topic_create_ms=0
send_ack_ms_512=158, topic_create_ms=0
send_ack_ms_513=162, topic_create_ms=0
send_ack_ms_514=158, topic_create_ms=0
send_ack_ms_515=152, topic_create_ms=0
send_ack_ms_516=175, topic_create_ms=0
send_ack_ms_517=148, topic_create_ms=0
send_ack_ms_518=152, topic_create_ms=0
send_ack_ms_519=153, topic_create_ms=0
send_ack_ms_520=164, topic_create_ms=0
send_ack_ms_521=153, topic_create_ms=0
send_ack_ms_522=154, topic_create_ms=0
send_ack_ms_523=150, topic_create_ms=0
send_ack_ms_524=160, topic_create_ms=0
send_ack_ms_525=156, topic_create_ms=0
send_ack_ms_526=205, topic_create_ms=0
send_ack_ms_527=138, topic_create_ms=0
send_ack_ms_528=145, topic_create_ms=0
send_ack_ms_529=155, topic_create_ms=0
send_ack_ms_530=158, topic_create_ms=0
send_ack_ms_531=157, topic_create_ms=0
send_ack_ms_532=144, topic_create_ms=0
send_ack_ms_533=167, topic_create_ms=0
send_ack_ms_534=165, topic_create_ms=0
send_ack_ms_535=150, topic_create_ms=0
send_ack_ms_536=150, topic_create_ms=0
send_ack_ms_537=152, topic_create_ms=0
send_ack_ms_538=133, topic_create_ms=0
send_ack_ms_539=154, topic_create_ms=0
send_ack_ms_540=148, topic_create_ms=0
send_ack_ms_541=156, topic_create_ms=0
send_ack_ms_542=159, topic_create_ms=0
send_ack_ms_543=151, topic_create_ms=0
send_ack_ms_544=158, topic_create_ms=0
send_ack_ms_545=145, topic_create_ms=0
send_ack_ms_546=161, topic_create_ms=0
send_ack_ms_547=163, topic_create_ms=0
send_ack_ms_548=153, topic_create_ms=0
send_ack_ms_549=163, topic_create_ms=0
send_ack_ms_550=151, topic_create_ms=0
send_ack_ms_551=169, topic_create_ms=0
send_ack_ms_552=165, topic_create_ms=0
send_ack_ms_553=163, topic_create_ms=0
send_ack_ms_554=153, topic_create_ms=0
send_ack_ms_555=158, topic_create_ms=0
send_ack_ms_556=159, topic_create_ms=0
send_ack_ms_557=162, topic_create_ms=0
send_ack_ms_558=161, topic_create_ms=0
send_ack_ms_559=152, topic_create_ms=0
send_ack_ms_560=165, topic_create_ms=0
