timestamp=2026-01-31T06:36:35.051891637Z
send_ack_total_ms=213648

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=51388, avg_ms_per_topic=102
batch_2_range=501~1000, elapsed_ms=54950, avg_ms_per_topic=109
batch_3_range=1001~1500, elapsed_ms=49264, avg_ms_per_topic=98
batch_4_range=1501~2000, elapsed_ms=50232, avg_ms_per_topic=100
batch_5_range=2001~2500, elapsed_ms=48796, avg_ms_per_topic=97
batch_6_range=2501~3000, elapsed_ms=56556, avg_ms_per_topic=113

=== Per Message Details ===
send_ack_ms_453=36, topic_create_ms=28
send_ack_ms_454=30, topic_create_ms=29
send_ack_ms_455=76, topic_create_ms=75
send_ack_ms_456=174, topic_create_ms=28
send_ack_ms_457=99, topic_create_ms=95
send_ack_ms_458=172, topic_create_ms=29
send_ack_ms_459=178, topic_create_ms=17
send_ack_ms_460=100, topic_create_ms=94
send_ack_ms_461=108, topic_create_ms=96
send_ack_ms_462=29, topic_create_ms=88
send_ack_ms_463=98, topic_create_ms=71
send_ack_ms_464=170, topic_create_ms=30
send_ack_ms_465=32, topic_create_ms=27
send_ack_ms_466=31, topic_create_ms=29
send_ack_ms_467=30, topic_create_ms=27
send_ack_ms_468=31, topic_create_ms=27
send_ack_ms_469=32, topic_create_ms=29
send_ack_ms_470=33, topic_create_ms=27
send_ack_ms_471=32, topic_create_ms=27
send_ack_ms_472=32, topic_create_ms=27
send_ack_ms_473=32, topic_create_ms=28
send_ack_ms_474=32, topic_create_ms=28
send_ack_ms_475=31, topic_create_ms=26
send_ack_ms_476=31, topic_create_ms=26
send_ack_ms_477=33, topic_create_ms=27
send_ack_ms_478=33, topic_create_ms=27
send_ack_ms_479=31, topic_create_ms=27
send_ack_ms_480=31, topic_create_ms=2
send_ack_ms_481=41, topic_create_ms=27
send_ack_ms_482=35, topic_create_ms=27
send_ack_ms_483=31, topic_create_ms=29
send_ack_ms_484=31, topic_create_ms=28
send_ack_ms_485=33, topic_create_ms=27
send_ack_ms_486=31, topic_create_ms=27
send_ack_ms_487=32, topic_create_ms=27
send_ack_ms_488=32, topic_create_ms=27
send_ack_ms_489=31, topic_create_ms=27
send_ack_ms_490=30, topic_create_ms=27
send_ack_ms_491=31, topic_create_ms=27
send_ack_ms_492=32, topic_create_ms=28
send_ack_ms_493=33, topic_create_ms=27
send_ack_ms_494=32, topic_create_ms=27
send_ack_ms_495=32, topic_create_ms=30
send_ack_ms_496=32, topic_create_ms=28
send_ack_ms_497=32, topic_create_ms=27
send_ack_ms_498=916, topic_create_ms=27
send_ack_ms_499=30, topic_create_ms=28
send_ack_ms_500=31, topic_create_ms=29
send_ack_ms_501=32, topic_create_ms=29
send_ack_ms_502=32, topic_create_ms=31
send_ack_ms_503=32, topic_create_ms=27
send_ack_ms_504=30, topic_create_ms=26
send_ack_ms_505=30, topic_create_ms=28
send_ack_ms_506=32, topic_create_ms=26
send_ack_ms_507=44, topic_create_ms=28
send_ack_ms_508=34, topic_create_ms=29
send_ack_ms_509=39, topic_create_ms=28
send_ack_ms_510=35, topic_create_ms=30
send_ack_ms_511=33, topic_create_ms=28
send_ack_ms_512=38, topic_create_ms=31
send_ack_ms_513=34, topic_create_ms=28
send_ack_ms_514=36, topic_create_ms=27
send_ack_ms_515=33, topic_create_ms=27
send_ack_ms_516=35, topic_create_ms=28
send_ack_ms_517=57, topic_create_ms=29
send_ack_ms_518=32, topic_create_ms=27
send_ack_ms_519=30, topic_create_ms=28
send_ack_ms_520=30, topic_create_ms=27
send_ack_ms_521=31, topic_create_ms=26
send_ack_ms_522=32, topic_create_ms=27
send_ack_ms_523=31, topic_create_ms=26
send_ack_ms_524=31, topic_create_ms=27
send_ack_ms_525=36, topic_create_ms=27
send_ack_ms_526=34, topic_create_ms=27
send_ack_ms_527=35, topic_create_ms=28
send_ack_ms_528=34, topic_create_ms=29
send_ack_ms_529=39, topic_create_ms=28
send_ack_ms_530=35, topic_create_ms=28
send_ack_ms_531=37, topic_create_ms=28
send_ack_ms_532=34, topic_create_ms=29
send_ack_ms_533=43, topic_create_ms=28
send_ack_ms_534=33, topic_create_ms=28
send_ack_ms_535=31, topic_create_ms=28
send_ack_ms_536=33, topic_create_ms=27
send_ack_ms_537=33, topic_create_ms=8
send_ack_ms_538=32, topic_create_ms=28
send_ack_ms_539=31, topic_create_ms=27
send_ack_ms_540=31, topic_create_ms=26
send_ack_ms_541=32, topic_create_ms=26
send_ack_ms_542=32, topic_create_ms=28
send_ack_ms_543=35, topic_create_ms=28
send_ack_ms_544=35, topic_create_ms=27
send_ack_ms_545=34, topic_create_ms=29
send_ack_ms_546=32, topic_create_ms=27
send_ack_ms_547=45, topic_create_ms=30
send_ack_ms_548=2054, topic_create_ms=28
send_ack_ms_549=47, topic_create_ms=31
send_ack_ms_550=45, topic_create_ms=30
send_ack_ms_551=38, topic_create_ms=29
send_ack_ms_552=35, topic_create_ms=27
send_ack_ms_553=35, topic_create_ms=28
send_ack_ms_554=32, topic_create_ms=27
send_ack_ms_555=33, topic_create_ms=28
send_ack_ms_556=34, topic_create_ms=29
send_ack_ms_557=32, topic_create_ms=27
send_ack_ms_558=29, topic_create_ms=28
send_ack_ms_559=41, topic_create_ms=27
send_ack_ms_560=30, topic_create_ms=27
