timestamp=2026-01-31T06:21:33.681260220Z
send_ack_total_ms=520557

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84962, avg_ms_per_topic=169
batch_2_range=501~1000, elapsed_ms=84795, avg_ms_per_topic=169
batch_3_range=1001~1500, elapsed_ms=86318, avg_ms_per_topic=172
batch_4_range=1501~2000, elapsed_ms=89074, avg_ms_per_topic=178
batch_5_range=2001~2500, elapsed_ms=87465, avg_ms_per_topic=174
batch_6_range=2501~3000, elapsed_ms=93157, avg_ms_per_topic=186

=== Per Message Details ===
send_ack_ms_469=154, topic_create_ms=0
send_ack_ms_470=155, topic_create_ms=0
send_ack_ms_471=147, topic_create_ms=0
send_ack_ms_472=162, topic_create_ms=0
send_ack_ms_473=158, topic_create_ms=0
send_ack_ms_474=154, topic_create_ms=0
send_ack_ms_475=153, topic_create_ms=0
send_ack_ms_476=154, topic_create_ms=0
send_ack_ms_477=157, topic_create_ms=0
send_ack_ms_478=159, topic_create_ms=0
send_ack_ms_479=157, topic_create_ms=0
send_ack_ms_480=221, topic_create_ms=0
send_ack_ms_481=217, topic_create_ms=0
send_ack_ms_482=300, topic_create_ms=0
send_ack_ms_483=299, topic_create_ms=0
send_ack_ms_484=278, topic_create_ms=0
send_ack_ms_485=200, topic_create_ms=0
send_ack_ms_486=217, topic_create_ms=0
send_ack_ms_487=149, topic_create_ms=0
send_ack_ms_488=152, topic_create_ms=0
send_ack_ms_489=157, topic_create_ms=0
send_ack_ms_490=147, topic_create_ms=0
send_ack_ms_491=154, topic_create_ms=0
send_ack_ms_492=150, topic_create_ms=0
send_ack_ms_493=153, topic_create_ms=0
send_ack_ms_494=154, topic_create_ms=0
send_ack_ms_495=147, topic_create_ms=0
send_ack_ms_496=153, topic_create_ms=0
send_ack_ms_497=164, topic_create_ms=0
send_ack_ms_498=149, topic_create_ms=0
send_ack_ms_499=152, topic_create_ms=0
send_ack_ms_500=159, topic_create_ms=0
send_ack_ms_501=158, topic_create_ms=0
send_ack_ms_502=144, topic_create_ms=0
send_ack_ms_503=141, topic_create_ms=0
send_ack_ms_504=153, topic_create_ms=0
send_ack_ms_505=154, topic_create_ms=0
send_ack_ms_506=159, topic_create_ms=0
send_ack_ms_507=177, topic_create_ms=0
send_ack_ms_508=157, topic_create_ms=0
send_ack_ms_509=150, topic_create_ms=0
send_ack_ms_510=159, topic_create_ms=0
send_ack_ms_511=155, topic_create_ms=0
send_ack_ms_512=161, topic_create_ms=0
send_ack_ms_513=149, topic_create_ms=0
send_ack_ms_514=148, topic_create_ms=0
send_ack_ms_515=155, topic_create_ms=0
send_ack_ms_516=157, topic_create_ms=0
send_ack_ms_517=162, topic_create_ms=0
send_ack_ms_518=353, topic_create_ms=0
send_ack_ms_519=154, topic_create_ms=0
send_ack_ms_520=153, topic_create_ms=0
send_ack_ms_521=135, topic_create_ms=0
send_ack_ms_522=151, topic_create_ms=0
send_ack_ms_523=155, topic_create_ms=0
send_ack_ms_524=167, topic_create_ms=0
send_ack_ms_525=151, topic_create_ms=0
send_ack_ms_526=146, topic_create_ms=0
send_ack_ms_527=158, topic_create_ms=0
send_ack_ms_528=148, topic_create_ms=0
send_ack_ms_529=155, topic_create_ms=0
send_ack_ms_530=155, topic_create_ms=0
send_ack_ms_531=163, topic_create_ms=0
send_ack_ms_532=174, topic_create_ms=0
send_ack_ms_533=153, topic_create_ms=0
send_ack_ms_534=154, topic_create_ms=0
send_ack_ms_535=160, topic_create_ms=0
send_ack_ms_536=159, topic_create_ms=0
send_ack_ms_537=154, topic_create_ms=0
send_ack_ms_538=160, topic_create_ms=0
send_ack_ms_539=152, topic_create_ms=0
send_ack_ms_540=154, topic_create_ms=0
send_ack_ms_541=161, topic_create_ms=0
send_ack_ms_542=144, topic_create_ms=0
send_ack_ms_543=143, topic_create_ms=0
send_ack_ms_544=147, topic_create_ms=0
send_ack_ms_545=161, topic_create_ms=0
send_ack_ms_546=146, topic_create_ms=0
send_ack_ms_547=156, topic_create_ms=0
send_ack_ms_548=156, topic_create_ms=0
send_ack_ms_549=156, topic_create_ms=0
send_ack_ms_550=155, topic_create_ms=0
send_ack_ms_551=163, topic_create_ms=0
send_ack_ms_552=205, topic_create_ms=0
send_ack_ms_553=203, topic_create_ms=0
send_ack_ms_554=280, topic_create_ms=0
send_ack_ms_555=214, topic_create_ms=0
send_ack_ms_556=198, topic_create_ms=0
send_ack_ms_557=188, topic_create_ms=0
send_ack_ms_558=218, topic_create_ms=0
send_ack_ms_559=135, topic_create_ms=0
send_ack_ms_560=157, topic_create_ms=0
